,result
32,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Ke Wang', 987, 0.1879363015010636, 3)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Franc¢¬ois Goasdoue', 867, 0.17245989304812834, 3)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Abhay Jha', 684, 0.1565931015731422, 1)"
35,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Jinling Jiang', 961, 0.15310057384711745, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Kaiqi Zhao', 981, 0.15248425413316952, 2)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Nodira Khoussainova', 1118, 0.11701402725544224, 1)"
38,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Yoshitaka Yamamoto', 1347, 0.11516504217183048, 2)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Xuan Liu', 1319, 0.09101143046671968, 3)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Jia Wang', 946, 0.09101143046671968, 2)"
41,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Matteo Interlandi', 1063, 0.17293239555867435, 1)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Oliver Kennedy', 1124, 0.17023831301943926, 1)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Wenfei Fan', 1295, 0.1524891160674164, 1)"
44,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Abhay Jha', 684, 0.18209121830873493, 2)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Quan Pham', 1163, 0.1442428819231753, 3)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Hoang Vu Nguyen', 907, 0.13777622821699292, 1)"
47,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Sudeepa Roy', 1235, 0.135438799587715, 2)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Nikolaus Augsten', 1110, 0.11861504307305325, 2)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Vince Barany', 1282, 0.11622454106382064, 1)"
50,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Joseph M. Hellerstein', 1125, 0.12878787878787884, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Kasper Mullesgaard', 985, 0.12693907690254358, 2)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Nikos Pelekis', 1115, 0.11226985593265157, 3)"
53,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'David Broneske', 803, 0.2263036862646166, 1)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Ling Gu', 1023, 0.16243754088025608, 3)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Liping Peng', 1024, 0.1451696374365981, 1)"
56,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Arjun Dasgupta', 733, 0.17467588902559691, 3)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Mona Ahuja ', 1095, 0.1564935064935065, 3)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Ahmad Ghazal', 691, 0.15291618203113472, 3)"
59,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Haichuan Shang', 890, 0.1745634796138123, 3)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Kasper Mullesgaard', 985, 0.16697111535381534, 3)"
61,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Arian Bar', 730, 0.1569660090040525, 2)"
62,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Mirco Stern', 1086, 0.20979231018583447, 1)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Wai Kit Wong', 1286, 0.15799150991684258, 1)"
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Per-Ake Larson', 1140, 0.15392912301642964, 3)"
65,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Danica Porobic', 796, 0.16702358481047136, 1)"
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Yoshitaka Yamamoto', 1347, 0.14695509612817947, 3)"
67,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Konstantina Bereta', 1000, 0.113927190178734, 2)"
68,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Victor Zakhary', 1278, 0.11132246254528863, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Jennie Duggan ', 939, 0.11132246254528863, 3)"
70,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Xiaoyong Chai', 1312, 0.1964355960200592, 1)"
71,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Liping Peng', 1024, 0.17882081279686154, 2)"
72,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Nurzhan Bakibayev', 1120, 0.11561025654927752, 1)"
73,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Yun Chi', 1361, 0.09385054955481527, 1)"
74,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Yu Lu', 1349, 0.09385054955481527, 2)"
75,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Danica Porobic', 796, 0.1369033884808355, 2)"
76,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Emad Soroush', 835, 0.13115647503667247, 3)"
77,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Alexander Kalinin', 700, 0.15365448164590767, 3)"
78,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Yanyan Shen', 1331, 0.11604964832828285, 2)"
79,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Yupeng Fu', 1365, 0.14032345646106156, 1)"
80,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Dimitris Tsirogiannis', 819, 0.12429842103984708, 2)"
81,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Danica Porobic', 796, 0.10395382276106364, 3)"
82,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Kai Ren', 978, 0.2853123291652753, 1)"
83,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Liping Peng', 1024, 0.1898801457639492, 3)"
84,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Lei Chang', 1015, 0.17619047619047615, 1)"
85,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'James Cheng', 929, 0.27623095311797863, 1)"
86,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Xiaodong Li', 1308, 0.16703025125088633, 3)"
87,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Sutanay Choudhury', 1242, 0.16703025125088633, 1)"
88,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Nitin Gupta', 1117, 0.14695509612817947, 2)"
89,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Martin Kaufmann', 1059, 0.13246709850218258, 1)"
90,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Bin Cao', 750, 0.12740384615384615, 2)"
91,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Dimitrios Karapiperis', 814, 0.10114517598445556, 1)"
92,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Thanh Nguyen', 1249, 0.0960948983770404, 2)"
93,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Eli Cortez', 832, 0.09385054955481527, 1)"
94,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Christodoulos Efstathiades', 780, 0.07631578947368423, 3)"
95,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Dimitrios Skoutas', 815, 0.07470015648930664, 2)"
96,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Shi Gao', 1207, 0.07470015648930664, 2)"
97,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Tanmoy Chakraborty', 1246, 0.16703025125088633, 2)"
98,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Rani Qumsiyeh', 1176, 0.16697111535381534, 3)"
99,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Xin Cao', 1314, 0.1466346153846154, 3)"
100,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Vijay Ingalalli', 1279, 0.17385885079684352, 2)"
101,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Stephan Ewen', 1230, 0.09622707518398846, 2)"
102,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Yucheng Low', 1357, 0.09622707518398846, 1)"
103,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Jiannan Wang', 951, 0.16703025125088633, 3)"
104,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'James Cheng', 929, 0.1524891160674164, 2)"
105,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Wenlu Wang', 1298, 0.1524891160674164, 2)"
106,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'James Cheng', 929, 0.15385654143009198, 3)"
107,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Saad Aljubayrin', 1195, 0.15037181515422432, 3)"
108,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Manoj K Agarwal', 1046, 0.14358974358974358, 2)"
109,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Marios Meimaris', 1056, 0.10692305767690767, 1)"
110,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Long Yuan', 1027, 0.09476995925548476, 1)"
111,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Sudipto Das', 1236, 0.09248724356957946, 1)"
112,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Hoang Vu Nguyen', 907, 0.09191176470588236, 2)"
113,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'George A. Vouros', 874, 0.09191176470588236, 3)"
114,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Shi Gao', 1207, 0.2179144385026738, 3)"
115,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Feng Zhao', 861, 0.2086832419667734, 3)"
116,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Martin Kaufmann', 1059, 0.18369027861859416, 2)"
117,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Nguyen Thanh Tam', 1107, 0.10939676804221024, 1)"
118,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Sumeet Bajaj', 1239, 0.09385054955481527, 3)"
119,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Nguyen Thanh Tam', 1107, 0.14962121212121215, 2)"
120,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Guanfeng Liu', 887, 0.13357843137254904, 1)"
121,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Aditya Parameswaran', 689, 0.12878787878787884, 1)"
122,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Stephan Ewen', 1230, 0.11036710720557386, 3)"
123,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Wai Kit Wong', 1286, 0.10692305767690767, 2)"
124,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Abdallah Arioua', 682, 0.09258956150821482, 1)"
125,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'David Broneske', 803, 0.2454700388657449, 2)"
126,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Xiaoyong Chai', 1312, 0.19127399843654566, 2)"
127,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Gregory Buehrer', 885, 0.1872812945967288, 1)"
128,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Xin Huang', 1315, 0.2960304974919798, 2)"
129,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Kai Zheng', 980, 0.1790851664107577, 3)"
130,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Kai Ren', 978, 0.17150866755675093, 2)"
131,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Yun Chi', 1361, 0.12878787878787884, 2)"
132,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Nurzhan Bakibayev', 1120, 0.12878787878787884, 2)"
133,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Karin Murthy', 983, 0.10840167498104596, 2)"
134,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Pablo Barrio', 1127, 0.13017317878514664, 2)"
135,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Manoj K Agarwal', 1046, 0.1253101736972705, 3)"
136,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Yang Wu', 1324, 0.1241249316661101, 3)"
