,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Zhao Sun', 1375, 0.1566467270206684, 2)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Fei Li', 858, 0.14112752010153345, 3)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Marco D. Adelfio', 1051, 0.14068034046604655, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Wolfgang Gatterbauer', 1301, 0.12553877175523953, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Arlei Silva', 735, 0.1241249316661101, 2)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Ting Deng', 1262, 0.10559369874958258, 3)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Yanyan Shen', 1331, 0.2502593469271173, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Meihui Zhang', 1067, 0.1879363015010636, 3)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Per-Ake Larson', 1140, 0.18205128205128204, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Essam Mansour', 844, 0.11542868337890515, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Yoshitaka Yamamoto', 1347, 0.11274509803921573, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Theodoros Chondrogiannis', 1253, 0.09414727010993644, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Venu Satuluri', 1275, 0.19216476350211487, 3)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Xiaodong Li', 1308, 0.17023831301943926, 2)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Dritan Bleco', 826, 0.17023831301943926, 2)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Xiang Wang', 1306, 0.20741829949960008, 3)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Parth Nagarkar', 1136, 0.19216476350211487, 3)"
17,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Kai Zheng', 980, 0.144826690500501, 2)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Stephan Ewen', 1230, 0.12768959372630745, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Ge Luo', 873, 0.12768959372630745, 3)"
20,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Yufei Tao', 1359, 0.2172153805735996, 2)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Anshuman Dutt', 724, 0.14851380077988754, 2)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Cheng Sheng', 775, 0.13358599695241194, 1)"
23,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Sebastian Kruse', 1202, 0.14695509612817947, 3)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Mohamed A. Sharaf', 1088, 0.12693907690254358, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Aravind Yalamanchi', 729, 0.12693907690254358, 1)"
26,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Mona Ahuja ', 1095, 0.25559397856603544, 2)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Per-Ake Larson', 1140, 0.22933254007089204, 2)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Arjun Dasgupta', 733, 0.1922046086460704, 2)"
29,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yang Wu', 1324, 0.1641146092457625, 2)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Kasper Mullesgaard', 985, 0.13038312643120975, 1)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yingxia Shao', 1341, 0.12878787878787884, 3)"
