,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Yuhong Li', 1360, 0.11554054054054053, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Jing Wang', 960, 0.07832594463128473, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yudian Zheng', 1358, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Arian Bar', 730, 0.07832594463128473, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Chih-Ya Shen', 776, 0.07832594463128473, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jing Wang', 960, 0.12180451127819547, 2)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Mingzhu Wei', 1082, 0.11861504307305325, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Anupam Sanghi', 728, 0.11861504307305325, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Yongming Luo', 1344, 0.07832594463128473, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Puya Memarzia', 1159, 0.07631578947368423, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Rong-Hua Li', 1191, 0.03880735353897094, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Sutanay Choudhury', 1242, 0.2382352941176471, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Foteini Katsarou', 866, 0.11554054054054053, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Rong-Hua Li', 1191, 0.07832594463128473, 2)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Inah Jeon', 922, 0.15974069235137256, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Emre Sefer', 836, 0.15555555555555556, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Julia Stoyanovich', 971, 0.12191408436135236, 1)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Mingjie Tang', 1081, 0.11861504307305325, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Haohan Zhu', 897, 0.11554054054054053, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Sudip Roy', 723, 0.11554054054054053, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Mingzhu Wei', 1082, 0.11554054054054053, 2)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Yudian Zheng', 1358, 0.11554054054054053, 2)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Arlei Silva', 735, 0.11554054054054053, 1)"
