,result
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 3)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Anupam Sanghi', 728, 0.15555555555555556, 2)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Inah Jeon', 922, 0.11861504307305325, 2)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Christina Pavlopoulou', 779, 0.15555555555555556, 1)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Abdullah Mueen', 683, 0.15555555555555556, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Sudeepa Roy', 1235, 0.15555555555555556, 1)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Yang Wu', 1324, 0.11554054054054053, 1)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Wenqing Lin', 1299, 0.07832594463128473, 1)"
32,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Rong-Hua Li', 1191, 0.07832594463128473, 3)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Abdallah Arioua', 682, 0.15555555555555556, 1)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Parth Nagarkar', 1136, 0.11554054054054053, 1)"
35,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Mehdi Kargar', 1066, 0.11554054054054053, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Yuchen Li', 1356, 0.15974069235137256, 1)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Lisi Chen', 1025, 0.15555555555555556, 1)"
38,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Jinling Jiang', 961, 0.15555555555555556, 1)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Abdullah Mueen', 683, 0.11861504307305325, 2)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Xin Huang', 1315, 0.08040935672514621, 1)"
41,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Alberto Cordioli', 698, 0.08040935672514621, 1)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Mingjie Tang', 1081, 0.15974069235137256, 2)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Jinbao Wang', 959, 0.15555555555555556, 1)"
44,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Kasper Mullesgaard', 985, 0.15555555555555556, 1)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Dimitris Bilidas', 816, 0.15555555555555556, 1)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Christina Pavlopoulou', 779, 0.11554054054054053, 2)"
47,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Zhenjie Zhang', 1379, 0.11554054054054053, 1)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Akon Dey', 694, 0.15974069235137256, 1)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Jinbao Wang', 959, 0.11861504307305325, 2)"
50,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Cristian Consonni', 789, 0.08040935672514621, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Per-Ake Larson', 1140, 0.15974069235137256, 1)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Jinbao Wang', 959, 0.15555555555555556, 3)"
53,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Yu Li', 1348, 0.15555555555555556, 1)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Inah Jeon', 922, 0.20177670577535006, 3)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Daniel Schall', 800, 0.15974069235137256, 1)"
56,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Petko Bakalov', 1146, 0.15555555555555556, 1)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Khaled Elmeleegy', 996, 0.19642857142857145, 1)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Yanhua Li', 1325, 0.15974069235137256, 1)"
59,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Peter Macko', 1145, 0.15555555555555556, 1)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Daniel Schall', 800, 0.15974069235137256, 2)"
61,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Carsten Binnig', 761, 0.15555555555555556, 1)"
62,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Lisi Chen', 1025, 0.15555555555555556, 2)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Mingzhu Wei', 1082, 0.15555555555555556, 3)"
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Sutanay Choudhury', 1242, 0.15555555555555556, 2)"
65,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Robert Brunel', 1186, 0.11861504307305325, 1)"
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Abdullah Mueen', 683, 0.19642857142857145, 3)"
67,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Yongming Luo', 1344, 0.11861504307305325, 2)"
68,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Julian Shun', 972, 0.11554054054054053, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Haohan Zhu', 897, 0.11554054054054053, 2)"
70,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Yu Li', 1348, 0.07631578947368423, 2)"
71,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Erman Pattuk', 843, 0.07631578947368423, 1)"
72,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Zheng Li', 1378, 0.11554054054054053, 1)"
73,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Oliver Kennedy', 1124, 0.11554054054054053, 1)"
74,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Abdallah Arioua', 682, 0.11554054054054053, 2)"
75,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Daniel Schall', 800, 0.11861504307305325, 3)"
76,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Mingjie Tang', 1081, 0.11861504307305325, 3)"
77,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Haohan Zhu', 897, 0.11554054054054053, 3)"
78,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Cristian Consonni', 789, 0.11861504307305325, 2)"
79,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Foteini Katsarou', 866, 0.11554054054054053, 2)"
80,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Christina Pavlopoulou', 779, 0.11554054054054053, 3)"
81,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Jiang Du', 950, 0.19642857142857145, 1)"
82,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Lu Chen', 1029, 0.19642857142857145, 1)"
83,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Pericles de Oliveira', 1142, 0.15974069235137256, 1)"
84,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Hina A. Khan', 906, 0.11861504307305325, 1)"
85,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Nicole Bidoit', 1109, 0.11861504307305325, 1)"
86,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Lu Chen', 1029, 0.11861504307305325, 2)"
87,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Yubao Wu', 1355, 0.08280404302609262, 1)"
88,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Oliver Kennedy', 1124, 0.08280404302609262, 2)"
89,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Ling Gu', 1023, 0.08280404302609262, 1)"
90,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Zheng Li', 1378, 0.15555555555555556, 2)"
91,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Cristian Consonni', 789, 0.11861504307305325, 3)"
92,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Jennie Duggan', 938, 0.11554054054054053, 1)"
93,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Yazhe Wang', 1336, 0.11554054054054053, 1)"
94,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Dimitris Bilidas', 816, 0.11554054054054053, 2)"
95,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Tanmoy Chakraborty', 1246, 0.11554054054054053, 1)"
96,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Oliver Kennedy', 1124, 0.15555555555555556, 3)"
97,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Robert Brunel', 1186, 0.11861504307305325, 2)"
98,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 2)"
99,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chen Jason Zhang', 769, 0.11554054054054053, 1)"
100,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Yongming Luo', 1344, 0.07832594463128473, 3)"
101,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chunyao Song', 787, 0.07832594463128473, 1)"
102,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Renata Borovica-Gajic', 1180, 0.07832594463128473, 1)"
103,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Pericles de Oliveira', 1142, 0.07832594463128473, 2)"
104,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Ling Gu', 1023, 0.07631578947368423, 2)"
105,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Ling Gu', 1023, 0.11554054054054053, 3)"
106,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Hoang Vu Nguyen', 907, 0.07631578947368423, 3)"
107,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Tanmoy Chakraborty', 1246, 0.07631578947368423, 2)"
108,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Xiang Ao', 1305, 0.11861504307305325, 1)"
109,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Lu Chen', 1029, 0.11861504307305325, 3)"
110,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Efi Karra Taniskidou', 830, 0.11861504307305325, 1)"
111,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Zhenjie Zhang', 1379, 0.2382352941176471, 2)"
112,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Christodoulos Efstathiades', 780, 0.19642857142857145, 1)"
113,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Kasper Mullesgaard', 985, 0.19642857142857145, 2)"
114,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Yuchen Li', 1356, 0.16408668730650156, 2)"
115,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Aristides Gionis', 732, 0.15974069235137256, 1)"
116,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Christodoulos Efstathiades', 780, 0.11861504307305325, 2)"
117,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Yuchen Li', 1356, 0.20177670577535006, 3)"
118,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Tanmoy Chakraborty', 1246, 0.19642857142857145, 3)"
119,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Pericles de Oliveira', 1142, 0.15974069235137256, 3)"
120,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Vasilis Samoladas', 1273, 0.15555555555555556, 1)"
121,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Christophe Claramunt', 783, 0.15555555555555556, 1)"
122,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Dimitris Bilidas', 816, 0.11554054054054053, 3)"
123,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Sutanay Choudhury', 1242, 0.19642857142857145, 3)"
124,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Foteini Katsarou', 866, 0.15555555555555556, 3)"
125,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Hyun Jin Moon', 918, 0.11861504307305325, 1)"
126,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Jennie Duggan', 938, 0.11554054054054053, 2)"
127,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'George A. Vouros', 874, 0.07832594463128473, 1)"
128,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Tova Milo', 1266, 0.07832594463128473, 1)"
129,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Christodoulos Efstathiades', 780, 0.11554054054054053, 3)"
130,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Yazhe Wang', 1336, 0.11554054054054053, 2)"
131,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Lei Chen', 1016, 0.11554054054054053, 1)"
132,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Gunes Aluc', 889, 0.11554054054054053, 1)"
133,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Damian Bursztyn', 792, 0.11554054054054053, 1)"
134,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Nathalie Charbel', 1104, 0.11554054054054053, 1)"
135,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Long Yuan', 1027, 0.15974069235137256, 1)"
136,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Xin Huang', 1315, 0.12180451127819547, 2)"
137,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Carsten Binnig', 761, 0.11861504307305325, 2)"
138,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Xin Huang', 1315, 0.20177670577535006, 3)"
139,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Muhammad Farhan', 1099, 0.11554054054054053, 1)"
140,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Aristides Gionis', 732, 0.11554054054054053, 2)"
141,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Andrey Gubichev', 717, 0.11861504307305325, 1)"
142,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Peter Macko', 1145, 0.11554054054054053, 2)"
143,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Kasper Mullesgaard', 985, 0.11554054054054053, 3)"
144,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Zheng Li', 1378, 0.20177670577535006, 3)"
145,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Raphael Bonaque', 1177, 0.15974069235137256, 1)"
146,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Marios Meimaris', 1056, 0.12180451127819547, 1)"
147,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shiwen Cheng', 1211, 0.15555555555555556, 1)"
148,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Lei Chen', 1016, 0.11554054054054053, 2)"
149,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Norases Vesdapunt', 1119, 0.11554054054054053, 1)"
150,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Nguyen Thanh Tam', 1107, 0.1642327847507107, 1)"
151,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Robert Brunel', 1186, 0.1252283576242048, 3)"
152,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Udayan Khurana', 1269, 0.12191408436135236, 1)"
153,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Rong Zhang', 1190, 0.15555555555555556, 1)"
154,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Yuyang Dong', 1367, 0.15555555555555556, 1)"
155,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Shiwen Cheng', 1211, 0.15555555555555556, 2)"
156,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Erman Pattuk', 843, 0.19642857142857145, 2)"
157,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Konstantina Bereta', 1000, 0.15555555555555556, 1)"
158,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Wenqing Lin', 1299, 0.11861504307305325, 2)"
159,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Xiang Ao', 1305, 0.11554054054054053, 2)"
160,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Xiang Wang', 1306, 0.11554054054054053, 1)"
161,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Lisi Chen', 1025, 0.07631578947368423, 3)"
162,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Gheorghi Guzun', 881, 0.03880735353897094, 1)"
163,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Arian Bar', 730, 0.03880735353897094, 2)"
164,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Efi Karra Taniskidou', 830, 0.19642857142857145, 2)"
165,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Gunes Aluc', 889, 0.15555555555555556, 2)"
166,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Zhenjie Zhang', 1379, 0.15974069235137256, 3)"
167,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Nikos Pelekis', 1115, 0.11861504307305325, 1)"
168,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Xiang Ao', 1305, 0.11861504307305325, 3)"
169,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Aristides Gionis', 732, 0.15555555555555556, 3)"
170,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Wenqing Lin', 1299, 0.11861504307305325, 3)"
171,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Yu Li', 1348, 0.15555555555555556, 3)"
172,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Julia Stoyanovich', 971, 0.12191408436135236, 2)"
173,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Henrietta Dombrovskaya', 903, 0.11554054054054053, 1)"
174,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Sebastian Schelter', 1203, 0.15555555555555556, 1)"
175,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Stratos Idreos', 1234, 0.12191408436135236, 1)"
176,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Raphael Bonaque', 1177, 0.15974069235137256, 2)"
177,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Nicole Bidoit', 1109, 0.11861504307305325, 2)"
178,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Jennie Duggan', 938, 0.11861504307305325, 3)"
179,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Raphael Bonaque', 1177, 0.2382352941176471, 3)"
180,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Sudip Roy', 723, 0.19642857142857145, 2)"
181,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Yuyang Dong', 1367, 0.15555555555555556, 2)"
182,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Stratos Idreos', 1234, 0.1642327847507107, 2)"
183,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Sebastian Schelter', 1203, 0.15555555555555556, 2)"
184,"('Automated Partitioning Design in Parallel Database Systems', 20200305, 'Rimma Nehme', 'Konstantina Bereta', 1000, 0.15555555555555556, 2)"
