,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
49,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Inah Jeon,922,0.11861504307305325,0
50,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Anupam Sanghi,728,0.15555555555555556,0
51,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Rong Zhang,1190,0.11554054054054053,0
52,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Daniel Schall,800,0.11861504307305325,0
53,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Nathalie Charbel,1104,0.11554054054054053,0
54,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Christina Pavlopoulou,779,0.15555555555555556,0
55,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Abdullah Mueen,683,0.15555555555555556,0
56,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Sudeepa Roy,1235,0.15555555555555556,0
57,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Dong-Wan Choi,825,0.15555555555555556,0
58,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Stratos Idreos,1234,0.12191408436135236,0
59,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Christophe Claramunt,783,0.15555555555555556,0
60,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Wenqing Lin,1299,0.07832594463128473,0
61,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Rong-Hua Li,1191,0.07832594463128473,0
62,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Arko Provo Mukherjee,734,0.07631578947368423,0
63,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Chih-Ya Shen,776,0.07832594463128473,0
64,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Xiaodong Li,1308,0.07832594463128473,0
65,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Yang Wu,1324,0.11554054054054053,0
66,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Jing Wang,960,0.07832594463128473,0
67,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Abdallah Arioua,682,0.15555555555555556,0
68,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Daniel Schall,800,0.07832594463128473,0
69,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Parth Nagarkar,1136,0.11554054054054053,0
70,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,David B. Lomet,802,0.07832594463128473,0
71,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Mehdi Kargar,1066,0.11554054054054053,0
72,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Yuchen Li,1356,0.15974069235137256,0
73,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Christodoulos Efstathiades,780,0.11554054054054053,0
74,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Tova Milo,1266,0.11861504307305325,0
75,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Lisi Chen,1025,0.15555555555555556,0
76,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Jinling Jiang,961,0.15555555555555556,0
77,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Tuan-Anh Nguyen Pham,1267,0.15555555555555556,0
78,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Xin Huang,1315,0.08040935672514621,0
79,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Alberto Cordioli,698,0.08040935672514621,0
80,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Rong-Hua Li,1191,0.08040935672514621,0
81,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Kasper Mullesgaard,985,0.07832594463128473,0
82,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Abdullah Mueen,683,0.11861504307305325,0
83,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Moritz Kaufmann,1096,0.08040935672514621,0
84,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Jinbao Wang,959,0.15555555555555556,0
85,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Kasper Mullesgaard,985,0.15555555555555556,0
86,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Daniel Schall,800,0.11861504307305325,0
87,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Mingjie Tang,1081,0.15974069235137256,0
88,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Liping Peng,1024,0.15555555555555556,0
89,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Stratos Idreos,1234,0.12191408436135236,0
90,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Christina Pavlopoulou,779,0.11554054054054053,0
91,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Zhenjie Zhang,1379,0.11554054054054053,0
92,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Dimitris Bilidas,816,0.15555555555555556,0
