,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Christina Pavlopoulou', 779, 0.15555555555555556, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Lu Chen', 1029, 0.15555555555555556, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'David B. Lomet', 802, 0.11861504307305325, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yudian Zheng', 1358, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Michael Shekelyan', 1077, 0.11554054054054053, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Chih-Ya Shen', 776, 0.07832594463128473, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jing Wang', 960, 0.12180451127819547, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Renata Borovica-Gajic', 1180, 0.12180451127819547, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Carsten Binnig', 761, 0.11861504307305325, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Aristides Gionis', 732, 0.11554054054054053, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Abdullah Mueen', 683, 0.11554054054054053, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Yongming Luo', 1344, 0.07832594463128473, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Charu C. Aggarwal', 766, 0.15555555555555556, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Xin Huang', 1315, 0.07832594463128473, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Yongming Luo', 1344, 0.07832594463128473, 2)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Rong Zhang', 1190, 0.11554054054054053, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Yuyang Dong', 1367, 0.11554054054054053, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Abdullah Mueen', 683, 0.11554054054054053, 2)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Liping Peng', 1024, 0.15555555555555556, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Sudip Roy', 723, 0.11554054054054053, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Yuchen Li', 1356, 0.07832594463128473, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'An Liu', 712, 0.15555555555555556, 1)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Yudian Zheng', 1358, 0.11554054054054053, 2)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Jennie Duggan', 938, 0.11554054054054053, 1)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Anupam Sanghi', 728, 0.15555555555555556, 1)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Inah Jeon', 922, 0.11861504307305325, 1)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Christina Pavlopoulou', 779, 0.15555555555555556, 2)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Peter Macko', 1145, 0.15555555555555556, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Dimitris Bilidas', 816, 0.15555555555555556, 1)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Arian Bar', 730, 0.07832594463128473, 1)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Wenqing Lin', 1299, 0.07832594463128473, 1)"
32,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Chih-Ya Shen', 776, 0.07832594463128473, 2)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Raphael Bonaque', 1177, 0.11554054054054053, 1)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Anupam Sanghi', 728, 0.11554054054054053, 2)"
35,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Stratos Idreos', 1234, 0.08048240544725077, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Raphael Bonaque', 1177, 0.19642857142857145, 2)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Yuchen Li', 1356, 0.15974069235137256, 2)"
38,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Lisi Chen', 1025, 0.15555555555555556, 1)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Abdullah Mueen', 683, 0.11861504307305325, 3)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Xin Huang', 1315, 0.08040935672514621, 2)"
41,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Alberto Cordioli', 698, 0.08040935672514621, 1)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Mingjie Tang', 1081, 0.15974069235137256, 1)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Jinbao Wang', 959, 0.15555555555555556, 1)"
44,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Stratos Idreos', 1234, 0.12191408436135236, 2)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Dimitris Bilidas', 816, 0.15555555555555556, 2)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Chen Jason Zhang', 769, 0.11554054054054053, 1)"
47,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Christina Pavlopoulou', 779, 0.11554054054054053, 3)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Jinbao Wang', 959, 0.11861504307305325, 2)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Julia Stoyanovich', 971, 0.08264523561501609, 1)"
50,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Cristian Consonni', 789, 0.08040935672514621, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Per-Ake Larson', 1140, 0.15974069235137256, 1)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Jinbao Wang', 959, 0.15555555555555556, 3)"
53,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Nikos Pelekis', 1115, 0.11554054054054053, 1)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Inah Jeon', 922, 0.20177670577535006, 2)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Daniel Schall', 800, 0.15974069235137256, 1)"
56,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Petko Bakalov', 1146, 0.15555555555555556, 1)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Khaled Elmeleegy', 996, 0.19642857142857145, 1)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Muhammad Farhan', 1099, 0.15555555555555556, 1)"
59,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Christophe Claramunt', 783, 0.15555555555555556, 1)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Gunes Aluc', 889, 0.19642857142857145, 1)"
61,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Daniel Schall', 800, 0.15974069235137256, 2)"
62,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Nicole Bidoit', 1109, 0.11554054054054053, 1)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Sutanay Choudhury', 1242, 0.15555555555555556, 1)"
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Robert Brunel', 1186, 0.11861504307305325, 1)"
65,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Jennie Duggan', 938, 0.11554054054054053, 2)"
