,result
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Inah Jeon', 922, 0.11861504307305325, 3)"
67,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Yongming Luo', 1344, 0.11861504307305325, 3)"
68,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Julian Shun', 972, 0.11554054054054053, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Haohan Zhu', 897, 0.11554054054054053, 1)"
70,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Konstantina Bereta', 1000, 0.11554054054054053, 1)"
71,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Jing Wang', 960, 0.07832594463128473, 3)"
72,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Zheng Li', 1378, 0.11554054054054053, 1)"
73,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Oliver Kennedy', 1124, 0.11554054054054053, 1)"
74,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Abdallah Arioua', 682, 0.11554054054054053, 1)"
75,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Abdallah Arioua', 682, 0.15555555555555556, 2)"
76,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Anupam Sanghi', 728, 0.15555555555555556, 3)"
77,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Jennie Duggan', 938, 0.11554054054054053, 3)"
78,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Cristian Consonni', 789, 0.11861504307305325, 2)"
79,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Foteini Katsarou', 866, 0.11554054054054053, 1)"
80,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Nicole Bidoit', 1109, 0.11554054054054053, 2)"
81,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Jiang Du', 950, 0.19642857142857145, 1)"
82,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Daniel Schall', 800, 0.15974069235137256, 3)"
83,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Rong Zhang', 1190, 0.15555555555555556, 2)"
84,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Abdallah Arioua', 682, 0.11861504307305325, 3)"
85,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Yuchen Li', 1356, 0.08040935672514621, 3)"
86,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Wenqing Lin', 1299, 0.08040935672514621, 2)"
87,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Ling Gu', 1023, 0.08280404302609262, 1)"
88,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Olga Poppe', 1122, 0.08280404302609262, 1)"
89,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Gunes Aluc', 889, 0.041005196116220916, 2)"
90,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Mingjie Tang', 1081, 0.15974069235137256, 2)"
91,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Zheng Li', 1378, 0.15555555555555556, 2)"
92,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'David Luaces', 806, 0.15555555555555556, 1)"
93,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Yazhe Wang', 1336, 0.11554054054054053, 1)"
94,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Dimitris Bilidas', 816, 0.11554054054054053, 3)"
95,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Tanmoy Chakraborty', 1246, 0.11554054054054053, 1)"
96,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Oliver Kennedy', 1124, 0.15555555555555556, 2)"
97,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Vasilis Samoladas', 1273, 0.15555555555555556, 1)"
98,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Robert Brunel', 1186, 0.11861504307305325, 2)"
99,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Yuhong Li', 1360, 0.11554054054054053, 1)"
100,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chen Jason Zhang', 769, 0.11554054054054053, 2)"
101,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Lisi Chen', 1025, 0.11554054054054053, 2)"
102,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Renata Borovica-Gajic', 1180, 0.07832594463128473, 2)"
103,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Haohan Zhu', 897, 0.07631578947368423, 2)"
104,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Chuanfei Xu', 786, 0.15555555555555556, 1)"
105,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Pericles de Oliveira', 1142, 0.11861504307305325, 1)"
106,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Raphael Bonaque', 1177, 0.11554054054054053, 3)"
107,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Rong Zhang', 1190, 0.15974069235137256, 3)"
108,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Mingjie Tang', 1081, 0.12180451127819547, 3)"
109,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Yuyang Dong', 1367, 0.11861504307305325, 2)"
110,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Zhenjie Zhang', 1379, 0.2382352941176471, 1)"
111,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Lu Chen', 1029, 0.2382352941176471, 2)"
112,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Kasper Mullesgaard', 985, 0.19642857142857145, 1)"
113,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Sutanay Choudhury', 1242, 0.20177670577535006, 2)"
114,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Saad Aljubayrin', 1195, 0.15974069235137256, 1)"
115,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Julian Shun', 972, 0.11861504307305325, 2)"
116,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Tanmoy Chakraborty', 1246, 0.19642857142857145, 2)"
117,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Pericles de Oliveira', 1142, 0.15974069235137256, 2)"
118,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Rene R Veloso', 1181, 0.11554054054054053, 1)"
119,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Gheorghi Guzun', 881, 0.15974069235137256, 1)"
120,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Christophe Claramunt', 783, 0.15555555555555556, 2)"
121,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Pericles de Oliveira', 1142, 0.11861504307305325, 3)"
122,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Peter Macko', 1145, 0.15555555555555556, 2)"
123,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'R. Uday Kiran', 1165, 0.11554054054054053, 1)"
124,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Long Yuan', 1027, 0.11554054054054053, 1)"
125,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Cristian Consonni', 789, 0.11861504307305325, 3)"
126,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'George A. Vouros', 874, 0.07832594463128473, 1)"
127,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Tova Milo', 1266, 0.07832594463128473, 1)"
128,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Yuyang Dong', 1367, 0.15555555555555556, 3)"
129,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 1)"
130,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Lei Chen', 1016, 0.11554054054054053, 1)"
131,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Ling Gu', 1023, 0.19642857142857145, 2)"
132,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Petko Bakalov', 1146, 0.11554054054054053, 2)"
133,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 2)"
134,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Long Yuan', 1027, 0.15974069235137256, 2)"
135,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Lu Chen', 1029, 0.11861504307305325, 3)"
136,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Carsten Binnig', 761, 0.11861504307305325, 2)"
137,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Tanmoy Chakraborty', 1246, 0.15555555555555556, 3)"
138,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Hoang Vu Nguyen', 907, 0.11554054054054053, 3)"
139,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Liang Xu', 1022, 0.11554054054054053, 1)"
140,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Alberto Cordioli', 698, 0.11861504307305325, 2)"
141,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Yuhong Li', 1360, 0.11554054054054053, 2)"
142,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Oliver Kennedy', 1124, 0.11554054054054053, 3)"
143,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Zheng Li', 1378, 0.20177670577535006, 3)"
144,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'R. Uday Kiran', 1165, 0.15974069235137256, 2)"
145,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Ge Luo', 873, 0.15974069235137256, 1)"
146,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shiwen Cheng', 1211, 0.15555555555555556, 1)"
147,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Yang Wu', 1324, 0.15555555555555556, 1)"
148,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Lei Chen', 1016, 0.11554054054054053, 2)"
