,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Brian E. Ruttenberg', 757, 0.15555555555555556, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Zhao Sun', 1375, 0.15555555555555556, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'An Liu', 712, 0.15555555555555556, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Long Yuan', 1027, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yang Li', 1322, 0.08048240544725077, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Chih-Ya Shen', 776, 0.07832594463128473, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Daniel Tahara', 801, 0.15974069235137256, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Zsolt Istv?n', 1386, 0.15974069235137256, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jing Wang', 960, 0.12180451127819547, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Julian Shun', 972, 0.11554054054054053, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Aristides Gionis', 732, 0.11554054054054053, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Shiming Zhang', 1210, 0.07832594463128473, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Charu C. Aggarwal', 766, 0.15555555555555556, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Alexandros Efentakis', 703, 0.11554054054054053, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Jinsoo Lee', 962, 0.11554054054054053, 1)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Miao Qiao', 1070, 0.20177670577535006, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Parth Nagarkar', 1136, 0.19642857142857145, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Inah Jeon', 922, 0.15974069235137256, 1)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Vasilis Samoladas', 1273, 0.15555555555555556, 1)"
