,result
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Thanh Nguyen', 1249, 0.11861504307305325, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Cristian Consonni', 789, 0.11861504307305325, 1)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Udayan Khurana', 1269, 0.11554054054054053, 1)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Nguyen Thanh Tam', 1107, 0.11554054054054053, 1)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Daniel Tahara', 801, 0.15555555555555556, 2)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jennie Duggan ', 939, 0.15555555555555556, 1)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Daniel Tahara', 801, 0.19642857142857145, 3)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Florian Funke', 863, 0.19642857142857145, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Hina A. Khan', 906, 0.19642857142857145, 1)"
30,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Chih-Ya Shen', 776, 0.07832594463128473, 2)"
31,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Ge Luo', 873, 0.07631578947368423, 1)"
32,"('Fast Personalized PageRank on MapReduce', 20200111, 'Bahman Bahmani', 'Arijit Khan', 731, 0.07631578947368423, 1)"
33,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'El Kindi Rezig', 831, 0.15974069235137256, 1)"
34,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Abdallah Arioua', 682, 0.15555555555555556, 1)"
35,"('Aggregation in Probabilistic Databases via Knowledge Compilation', 20200112, 'Robert Fink', 'Franc¢¬ois Goasdoue', 867, 0.15555555555555556, 1)"
36,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Raphael Bonaque', 1177, 0.19642857142857145, 1)"
37,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Paras Mehta ', 1135, 0.11861504307305325, 1)"
38,"('Semantic and Influence aware k-RepresentativeQueries over Social Streams', 20200113, 'Yanhao Wang', 'Tova Milo', 1266, 0.11861504307305325, 1)"
39,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Nikos Bikakis', 1112, 0.12180451127819547, 1)"
40,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Sudipto Das', 1236, 0.11861504307305325, 1)"
41,"('A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms', 20200114, 'Zhuhua Cai', 'Abdullah Mueen', 683, 0.11861504307305325, 1)"
42,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Chuan Lei', 785, 0.19642857142857145, 1)"
43,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Michael A. Bender', 1072, 0.15974069235137256, 1)"
44,"('Dynamic Plan Generation for Parameterized Queries', 20200115, 'Ahmad Ghazal', 'Mingjie Tang', 1081, 0.15974069235137256, 1)"
45,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 2)"
46,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Bogdan Cautis', 754, 0.11861504307305325, 1)"
47,"('E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment', 20200116, 'Fei Xu', 'Jie Xu', 955, 0.11861504307305325, 1)"
48,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Michael J. Franklin', 1075, 0.15974069235137256, 1)"
49,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Akon Dey', 694, 0.15974069235137256, 1)"
50,"('Business-Intelligence Queries with Order Dependencies in DB2', 20200117, 'Jaroslaw Szlichta', 'Henrietta Dombrovskaya', 903, 0.15974069235137256, 1)"
51,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Stratos Idreos', 1234, 0.1642327847507107, 1)"
52,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Per-Ake Larson', 1140, 0.15974069235137256, 1)"
53,"('Detecting Database File Tampering through Page Carving', 20200118, 'James Wagner', 'Prasang Upadhyaya', 1157, 0.15555555555555556, 1)"
54,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Inah Jeon', 922, 0.20177670577535006, 2)"
55,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Evan P. C. Jones', 846, 0.15974069235137256, 1)"
56,"('Track Join: Distributed Joins with Minimal Network Traffic', 20200119, 'Orestis Polychroniou', 'Willis Lang', 1300, 0.15555555555555556, 1)"
57,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Martin Kaufmann', 1059, 0.19642857142857145, 1)"
58,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Pirooz Chubak', 1154, 0.15555555555555556, 1)"
59,"('ParaTimer: A Progress Indicator for MapReduce DAGs', 20200120, 'Kristi Morton', 'Haopeng Zhang', 898, 0.15555555555555556, 1)"
60,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Gunes Aluc', 889, 0.19642857142857145, 1)"
61,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Ioannis Alagiannis', 923, 0.19642857142857145, 1)"
62,"('PABIRS: A Data Access Middleware for Distributed File Systems', 20200121, 'Sai Wu', 'Emad Soroush', 835, 0.19642857142857145, 1)"
63,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Wang Lam', 1287, 0.15974069235137256, 1)"
64,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Jennie Duggan ', 939, 0.15555555555555556, 2)"
65,"('Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems', 20200122, 'Paolo Bellavista', 'Abdullah Mueen', 683, 0.15555555555555556, 2)"
66,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Zhao Sun', 1375, 0.2382352941176471, 2)"
67,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Puya Memarzia', 1159, 0.19642857142857145, 1)"
68,"('Fast Sort on CPUs and GPUs: A Case for Bandwidth Oblivious SIMD Sort', 20200123, 'Nadathur Satish', 'Jiexing Li', 957, 0.15555555555555556, 1)"
69,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Manish Kesarwani', 1045, 0.15555555555555556, 1)"
70,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Udayan Khurana', 1269, 0.11554054054054053, 2)"
71,"('Serializability, not Serial: Concurrency Control and Availability in Multi-Datacenter Datastores', 20200124, 'Stacy Patterson', 'Aravind Yalamanchi', 729, 0.11554054054054053, 1)"
72,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Mohammad Sadoghi', 1092, 0.1293070946107876, 1)"
73,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Mostafa Ead', 1097, 0.11554054054054053, 1)"
74,"('Actively Soliciting Feedback for Query Answers in Keyword Search-Based Data Integration', 20200125, 'Zhepeng Yan', 'Abdallah Arioua', 682, 0.11554054054054053, 2)"
75,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Abdallah Arioua', 682, 0.15555555555555556, 3)"
76,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'Anupam Sanghi', 728, 0.15555555555555556, 1)"
77,"('Data Generation using Declarative Constraints', 20200126, 'Arvind Arasu', 'El Kindi Rezig', 831, 0.11861504307305325, 2)"
78,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Cristian Consonni', 789, 0.11861504307305325, 2)"
79,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'R. Uday Kiran', 1165, 0.11554054054054053, 1)"
80,"('Dependency-Aware Reordering for Parallelizing Query Optimization in Multi-Core CPUs', 20200127, 'Wook-Shin Han', 'Anshuman Dutt', 724, 0.11554054054054053, 1)"
81,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Jiang Du', 950, 0.19642857142857145, 1)"
82,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Radu Stoica', 1168, 0.19642857142857145, 1)"
83,"('Hybrid Storage Management for Database Systems', 20200128, 'Xin Liu', 'Ioannis Alagiannis', 923, 0.19642857142857145, 2)"
84,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Paras Mehta ', 1135, 0.16408668730650156, 2)"
85,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Iraklis Psaroudakis', 926, 0.15974069235137256, 1)"
86,"('Efficient Indexing for Diverse Query Results', 20200129, 'Lu Li ', 'Arijit Khan', 731, 0.11861504307305325, 2)"
87,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Oliver Arnold', 1123, 0.25947203691237924, 1)"
88,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'David Broneske', 803, 0.1690712895153887, 1)"
89,"('Hardware-Oblivious Parallelism for In-Memory Column-Stores', 20200130, 'Max Heimel ', 'Anastasia Ailamaki', 714, 0.12891677806574406, 1)"
90,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Jing Wang', 960, 0.15974069235137256, 3)"
91,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Mingjie Tang', 1081, 0.15974069235137256, 2)"
92,"('SpatialHadoop: A MapReduce Framework for Spatial Data', 20200131, 'Ahmed Eldawy', 'Sudipto Das', 1236, 0.15555555555555556, 2)"
93,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Alexandros Efentakis', 703, 0.11554054054054053, 2)"
94,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Angela Bonifati', 718, 0.11554054054054053, 1)"
95,"('3-HOP: A High-Compression Indexing Scheme for Reachability Query', 20200201, 'Ruoming Jin', 'Tanmoy Chakraborty', 1246, 0.11554054054054053, 1)"
96,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Henrietta Dombrovskaya', 903, 0.19642857142857145, 2)"
97,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Ahmed Eldawy', 692, 0.15555555555555556, 1)"
98,"('Optimizing Recursive Queries with Monotonic Aggregates in DeALS', 20200202, 'Alexander Shkapsky', 'Georgios J. Fakas', 879, 0.15555555555555556, 1)"
99,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Chen Jason Zhang', 769, 0.11554054054054053, 1)"
100,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Marios Meimaris', 1056, 0.07832594463128473, 1)"
101,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Hyun Jin Moon', 918, 0.07832594463128473, 1)"
102,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Yanif Ahmad', 1326, 0.11554054054054053, 1)"
103,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Fangjin Yang ', 854, 0.08048240544725077, 1)"
104,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Inah Jeon', 922, 0.07832594463128473, 3)"
105,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Ling Gu', 1023, 0.11554054054054053, 1)"
106,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Nathalie Charbel', 1104, 0.11554054054054053, 1)"
107,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Raphael Bonaque', 1177, 0.11554054054054053, 2)"
108,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Haiquan Chen', 891, 0.15974069235137256, 1)"
109,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Vinayak Borkar', 1281, 0.15974069235137256, 1)"
110,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Rong Zhang', 1190, 0.15974069235137256, 1)"
111,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Lu Chen', 1029, 0.2382352941176471, 1)"
112,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Alekh Jindal', 699, 0.19642857142857145, 1)"
113,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Kasper Mullesgaard', 985, 0.19642857142857145, 1)"
114,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Sutanay Choudhury', 1242, 0.20177670577535006, 1)"
115,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Amit Goyal', 709, 0.15974069235137256, 1)"
116,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Aristides Gionis', 732, 0.15974069235137256, 2)"
117,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Arjun Dasgupta', 733, 0.15555555555555556, 1)"
118,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Rakesh Pimplikar', 1174, 0.15555555555555556, 1)"
119,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Florian Funke', 863, 0.15555555555555556, 2)"
120,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Michael J. Franklin', 1075, 0.19642857142857145, 2)"
121,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Florian Funke', 863, 0.19642857142857145, 3)"
122,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Gheorghi Guzun', 881, 0.15974069235137256, 1)"
123,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Sutanay Choudhury', 1242, 0.19642857142857145, 2)"
124,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Foteini Katsarou', 866, 0.15555555555555556, 1)"
125,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Haiquan Chen', 891, 0.11554054054054053, 2)"
126,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Paras Mehta ', 1135, 0.15974069235137256, 3)"
127,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Cristian Consonni', 789, 0.11861504307305325, 3)"
128,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Chunyao Song', 787, 0.11861504307305325, 1)"
129,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Marina Barsky', 1054, 0.15555555555555556, 1)"
130,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Shiwen Cheng', 1211, 0.15555555555555556, 1)"
131,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Yuyang Dong', 1367, 0.15555555555555556, 1)"
132,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'R. Uday Kiran', 1165, 0.15555555555555556, 2)"
133,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Wenfei Fan', 1295, 0.11554054054054053, 1)"
134,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Dan R. K. Ports', 794, 0.11554054054054053, 1)"
135,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Oliver Arnold', 1123, 0.15974069235137256, 2)"
136,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Long Yuan', 1027, 0.15974069235137256, 2)"
137,"('Efficient and scalable trie-based algorithms for computing set containment relations', 20200215, 'Yongming Luo', 'Xin Huang', 1315, 0.12180451127819547, 1)"
138,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Xin Huang', 1315, 0.20177670577535006, 2)"
139,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Miao Qiao', 1070, 0.11861504307305325, 2)"
140,"('Reachability Queries on Large Dynamic Graphs: A Total Order Approach', 20200216, 'Andy Diwen Zhu', 'Yuchen Li', 1356, 0.11861504307305325, 1)"
141,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Sumeet Bajaj', 1239, 0.15555555555555556, 1)"
142,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Sudipto Das', 1236, 0.15555555555555556, 3)"
143,"('Opportunistic Physical Design for Big Data Analytics', 20200217, ' Jeff LeFevre', 'Iraklis Psaroudakis', 926, 0.15555555555555556, 2)"
144,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'R. Uday Kiran', 1165, 0.15974069235137256, 3)"
145,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Sudeepa Roy', 1235, 0.15974069235137256, 1)"
146,"('Discovering Order Dependencies through Order Compatibility', 20200218, 'Cristian Consonni', 'Bin Cao', 750, 0.15974069235137256, 1)"
147,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Shi Gao', 1207, 0.19642857142857145, 1)"
148,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Amit Goyal', 709, 0.15555555555555556, 2)"
149,"('Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]', 20200219, 'Efi Karra Taniskidou', 'Kaiqi Zhao', 981, 0.15555555555555556, 1)"
150,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Marco D. Adelfio', 1051, 0.20751914493125825, 1)"
151,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Laura B. Kassner', 1013, 0.1642327847507107, 1)"
152,"('An Analysis of Structured Data on the Web', 20200220, 'Nilesh Dalvi', 'Zhe Fan', 1376, 0.1642327847507107, 1)"
153,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Meihui Zhang', 1067, 0.19642857142857145, 1)"
154,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Ling Gu', 1023, 0.15555555555555556, 2)"
155,"('Query Processing under GLAV Mappings for Relational and Graph Databases', 20200221, 'Diego Calvanese', 'Prasang Upadhyaya', 1157, 0.15555555555555556, 2)"
156,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Miao Qiao', 1070, 0.15974069235137256, 3)"
157,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Wei Lu', 1290, 0.15555555555555556, 1)"
158,"('A Moving-Object Index for Efficient Query Processing with Peer-Wise Location Privacy', 20200222, 'Dan Lin', 'Kasper Mullesgaard', 985, 0.15555555555555556, 2)"
159,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Kasper Mullesgaard', 985, 0.15555555555555556, 3)"
160,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Jun Gao', 973, 0.15555555555555556, 1)"
161,"('Fast and Unified Local Search for Random Walk Based K-Nearest-Neighbor Query in Large Graphs', 20200223, 'Yubao Wu', 'Jinbao Wang', 959, 0.15555555555555556, 1)"
162,"('Neighborhood Based Fast Graph Search in Large Networks', 20200224, 'Arijit Khan', 'Arijit Khan', 731, 0.20177670577535006, 3)"
163,"('Neighborhood Based Fast Graph Search in Large Networks', 20200224, 'Arijit Khan', 'Aristides Gionis', 732, 0.20177670577535006, 3)"
164,"('Neighborhood Based Fast Graph Search in Large Networks', 20200224, 'Arijit Khan', 'Tuan-Anh Nguyen Pham', 1267, 0.20177670577535006, 1)"
165,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Fei Li', 858, 0.11554054054054053, 1)"
166,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Robert Brunel', 1186, 0.07832594463128473, 1)"
167,"('Learning Semantic String Transformations from Examples', 20200225, 'Rishabh Singh', 'Theodoros Chondrogiannis', 1253, 0.07631578947368423, 1)"
168,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Vijay Ingalalli', 1279, 0.19642857142857145, 1)"
169,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Efi Karra Taniskidou', 830, 0.19642857142857145, 1)"
170,"('RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases', 20200226, 'Shi Gao', 'Ling Gu', 1023, 0.15555555555555556, 3)"
171,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Marco D. Adelfio', 1051, 0.20177670577535006, 2)"
172,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Wenqing Lin', 1299, 0.16408668730650156, 1)"
173,"('Inves: Incremental Partitioning-Based Verification for Graph Similarity Search', 20200227, 'Jongik Kim', 'Rong Zhang', 1190, 0.15974069235137256, 2)"
174,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Xin Huang', 1315, 0.11861504307305325, 3)"
175,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Wenqing Lin', 1299, 0.11861504307305325, 2)"
176,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Julia Stoyanovich', 971, 0.12191408436135236, 1)"
177,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Yanhua Li', 1325, 0.11861504307305325, 1)"
178,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'El Kindi Rezig', 831, 0.11861504307305325, 3)"
179,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Avraham Shinnar', 744, 0.15974069235137256, 1)"
180,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Franc¢¬ois Goasdoue', 867, 0.15555555555555556, 2)"
181,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Orestis Polychroniou', 1126, 0.15555555555555556, 1)"
182,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Raphael Bonaque', 1177, 0.15555555555555556, 3)"
183,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Andrey Gubichev', 717, 0.11861504307305325, 1)"
