,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Brian E. Ruttenberg,757,0.15555555555555556,0
1,Diversifying Top-K Results,20200101,Lu Qin,David B. Lomet,802,0.11861504307305325,0
2,Diversifying Top-K Results,20200101,Lu Qin,Zhao Sun,1375,0.15555555555555556,0
3,Diversifying Top-K Results,20200101,Lu Qin,Abdullah Mueen,683,0.11554054054054053,0
4,Diversifying Top-K Results,20200101,Lu Qin,An Liu,712,0.15555555555555556,0
5,Diversifying Top-K Results,20200101,Lu Qin,Phokion G. Kolaitis,1151,0.15555555555555556,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Parth Nagarkar,1136,0.07631578947368423,0
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.07832594463128473,0
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Shiwen Cheng,1211,0.07631578947368423,0
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Long Yuan,1027,0.11554054054054053,0
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Jun Gao,973,0.07631578947368423,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yang Li,1322,0.08048240544725077,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Daniel Tahara,801,0.15974069235137256,0
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Zsolt Istv?n,1386,0.15974069235137256,0
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Dimitris Tsirogiannis,819,0.11861504307305325,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Mingzhu Wei,1082,0.11861504307305325,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jing Wang,960,0.12180451127819547,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Renata Borovica-Gajic,1180,0.12180451127819547,0
18,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Chuan Lei,785,0.07631578947368423,0
19,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Oliver Arnold,1123,0.07631578947368423,0
20,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Julian Shun,972,0.11554054054054053,0
21,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Shiming Zhang,1210,0.07832594463128473,0
22,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Miao Qiao,1070,0.07832594463128473,0
23,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Aristides Gionis,732,0.11554054054054053,0
24,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Alexandros Efentakis,703,0.11554054054054053,0
25,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Jinsoo Lee,962,0.11554054054054053,0
26,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Saad Aljubayrin,1195,0.11554054054054053,0
27,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Charu C. Aggarwal,766,0.15555555555555556,0
28,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Steven Euijong Whang,1233,0.11554054054054053,0
29,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Zhao Sun,1375,0.11554054054054053,0
30,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Parth Nagarkar,1136,0.19642857142857145,0
31,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Emre Sefer,836,0.15555555555555556,0
32,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Inah Jeon,922,0.15974069235137256,0
33,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Miao Qiao,1070,0.20177670577535006,0
34,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Puya Memarzia,1159,0.15555555555555556,0
35,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Dimitris Bilidas,816,0.15555555555555556,0
36,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Thanh T. L. Tran,1250,0.11861504307305325,0
37,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Cheng Sheng,775,0.11554054054054053,0
38,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Thanh Nguyen,1249,0.11861504307305325,0
39,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Vasilis Samoladas,1273,0.15555555555555556,0
40,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Gheorghi Guzun,881,0.11861504307305325,0
41,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Mingjie Tang,1081,0.11861504307305325,0
42,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Udayan Khurana,1269,0.11554054054054053,0
43,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Cristian Consonni,789,0.11861504307305325,0
44,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Nguyen Thanh Tam,1107,0.11554054054054053,0
45,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Vasilis Efthymiou,1272,0.11554054054054053,0
46,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Gregory Buehrer,885,0.11554054054054053,0
47,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Arlei Silva,735,0.11554054054054053,0
