,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'El Kindi Rezig', 831, 0.15974069235137256, 1)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Yufei Tao', 1359, 0.15555555555555556, 1)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Zhao Sun', 1375, 0.15555555555555556, 1)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Long Yuan', 1027, 0.11554054054054053, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Yang Li', 1322, 0.08048240544725077, 1)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Chih-Ya Shen', 776, 0.07832594463128473, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Daniel Tahara', 801, 0.15974069235137256, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Zsolt Istv?n', 1386, 0.15974069235137256, 1)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Jing Wang', 960, 0.12180451127819547, 1)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Abdullah Mueen', 683, 0.11554054054054053, 1)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Chuan Lei', 785, 0.07631578947368423, 1)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Oliver Arnold', 1123, 0.07631578947368423, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Charu C. Aggarwal', 766, 0.15555555555555556, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Guanfeng Liu', 887, 0.15555555555555556, 1)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Alexandros Efentakis', 703, 0.11554054054054053, 1)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Miao Qiao', 1070, 0.20177670577535006, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Paras Mehta ', 1135, 0.15974069235137256, 1)"
17,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Emre Sefer', 836, 0.15555555555555556, 1)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Sayan Ranu', 1199, 0.15974069235137256, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Hyunjung Park', 919, 0.15555555555555556, 1)"
20,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 1)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Manish Kesarwani', 1045, 0.15555555555555556, 1)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Cristian Consonni', 789, 0.11861504307305325, 1)"
23,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Thanh T. L. Tran', 1250, 0.11861504307305325, 2)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Jing Wang', 960, 0.20177670577535006, 2)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Daniel Tahara', 801, 0.15555555555555556, 2)"
26,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Zsolt Istv?n', 1386, 0.15555555555555556, 2)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Daniel Tahara', 801, 0.19642857142857145, 3)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Florian Funke', 863, 0.19642857142857145, 1)"
29,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Hina A. Khan', 906, 0.19642857142857145, 1)"
