,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Hyunjung Park,919,0.11554054054054053,0
1,Diversifying Top-K Results,20200101,Lu Qin,Ke Wang,987,0.11554054054054053,0
2,Diversifying Top-K Results,20200101,Lu Qin,Yufei Tao,1359,0.15555555555555556,0
3,Diversifying Top-K Results,20200101,Lu Qin,Abdallah Arioua,682,0.11554054054054053,0
4,Diversifying Top-K Results,20200101,Lu Qin,Nikolaus Augsten,1110,0.11554054054054053,0
5,Diversifying Top-K Results,20200101,Lu Qin,Zhao Sun,1375,0.15555555555555556,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.07832594463128473,0
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yang Li,1322,0.08048240544725077,0
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Ting Deng,1262,0.11554054054054053,0
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Victor Alvarez,1277,0.07631578947368423,0
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Michael Shekelyan,1077,0.11554054054054053,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yudian Zheng,1358,0.11554054054054053,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Arvind Arasu,740,0.11861504307305325,0
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Dimitris Tsirogiannis,819,0.11861504307305325,0
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Mingzhu Wei,1082,0.11861504307305325,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Renata Borovica-Gajic,1180,0.12180451127819547,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jinbao Wang,959,0.11861504307305325,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Bogdan Cautis,754,0.12180451127819547,0
18,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Julian Shun,972,0.11554054054054053,0
19,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Miao Qiao,1070,0.07832594463128473,0
20,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Aristides Gionis,732,0.11554054054054053,0
21,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Yongming Luo,1344,0.07832594463128473,0
22,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Julia Stoyanovich,971,0.08048240544725077,0
23,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Zitong Chen,1384,0.07631578947368423,0
24,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Udayan Khurana,1269,0.11554054054054053,0
25,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Jinsoo Lee,962,0.11554054054054053,0
26,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Foteini Katsarou,866,0.11554054054054053,0
27,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Steven Euijong Whang,1233,0.11554054054054053,0
28,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Angela Bonifati,718,0.11554054054054053,0
29,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Charu C. Aggarwal,766,0.15555555555555556,0
30,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Parth Nagarkar,1136,0.19642857142857145,0
31,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Venu Satuluri,1275,0.11554054054054053,0
32,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Emre Sefer,836,0.15555555555555556,0
33,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Qiang Zeng,1160,0.11554054054054053,0
34,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Charu C. Aggarwal,766,0.11554054054054053,0
35,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Tilmann Zaschke,1260,0.11861504307305325,0
36,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Thanh T. L. Tran,1250,0.11861504307305325,0
37,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Sayan Ranu,1199,0.15974069235137256,0
38,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Thanh Nguyen,1249,0.11861504307305325,0
39,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Mirco Stern,1086,0.11554054054054053,0
40,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Arlei Silva,735,0.11554054054054053,0
41,Kernel-Based Cardinality Estimation on Metric Data,20200107,Michael Mattig,Jie Xu,955,0.11861504307305325,0
42,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Kai Zheng,980,0.11554054054054053,0
43,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Mostafa Ead,1097,0.11554054054054053,0
44,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Cristian Consonni,789,0.11861504307305325,0
45,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Thanh T. L. Tran,1250,0.11861504307305325,0
46,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Laura B. Kassner,1013,0.11554054054054053,0
47,Iterative Estimation of Mutual Information with Error Bounds,20200108,Michael Vollmer,Siarhei Bykau,1213,0.11554054054054053,0
48,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Daniel Tahara,801,0.15555555555555556,0
49,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Jennie Duggan ,939,0.15555555555555556,0
50,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Zsolt Istv?n,1386,0.15555555555555556,0
51,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Sudipto Das,1236,0.15555555555555556,0
52,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Jing Wang,960,0.20177670577535006,0
53,ERACER: A Database Approach for Statistical Inference and Data Cleaning,20200109,Chris Mayfield,Fangjin Yang ,854,0.12191408436135236,0
54,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Daniel Tahara,801,0.19642857142857145,0
55,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Sudeepa Roy,1235,0.15555555555555556,0
56,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Dimitris Bilidas,816,0.15555555555555556,0
57,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Abdullah Mueen,683,0.15555555555555556,0
58,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Hina A. Khan,906,0.19642857142857145,0
59,Processing a Trillion Cells per Mouse Click,20200110,Alexander Hall,Stephen Tu,1232,0.15555555555555556,0
60,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Wenfei Fan,1295,0.037820512820512825,0
61,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Shiming Zhang,1210,0.03880735353897094,0
62,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Long Yuan,1027,0.07631578947368423,0
63,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Yang Li,1322,0.039865827348249984,0
64,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Jiajun Liu,947,0.03880735353897094,0
65,Fast Personalized PageRank on MapReduce,20200111,Bahman Bahmani,Fanwei Zhu,855,0.07631578947368423,0
66,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Kai Zheng,980,0.11554054054054053,0
67,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Parth Nagarkar,1136,0.11554054054054053,0
68,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Stratos Idreos,1234,0.08048240544725077,0
69,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Raphael Bonaque,1177,0.11554054054054053,0
70,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Nguyen Thanh Tam,1107,0.11554054054054053,0
71,Aggregation in Probabilistic Databases via Knowledge Compilation,20200112,Robert Fink,Steffen Rendle,1228,0.11554054054054053,0
72,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Paras Mehta ,1135,0.11861504307305325,0
73,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Tova Milo,1266,0.11861504307305325,0
74,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Theodoros Chondrogiannis,1253,0.15555555555555556,0
75,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Raphael Bonaque,1177,0.19642857142857145,0
76,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Tuan-Anh Nguyen Pham,1267,0.15555555555555556,0
77,Semantic and Influence aware k-RepresentativeQueries over Social Streams,20200113,Yanhao Wang,Jieying She,958,0.15555555555555556,0
78,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Pirooz Chubak,1154,0.07832594463128473,0
79,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Brian E. Ruttenberg,757,0.07832594463128473,0
80,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Theodoros Chondrogiannis,1253,0.07832594463128473,0
81,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Radu Stoica,1168,0.07832594463128473,0
82,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Dan Olteanu,793,0.07832594463128473,0
83,A Comparison of Platforms for Implementing and Running Very Large Scale Machine Learning Algorithms,20200114,Zhuhua Cai,Muhammad Farhan,1099,0.07832594463128473,0
84,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Chuan Lei,785,0.19642857142857145,0
85,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Michael J. Franklin,1075,0.15555555555555556,0
86,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Feifei Li,859,0.15555555555555556,0
87,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Jinbao Wang,959,0.15555555555555556,0
88,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Florian Funke,863,0.15555555555555556,0
89,Dynamic Plan Generation for Parameterized Queries,20200115,Ahmad Ghazal,Liping Peng,1024,0.15555555555555556,0
90,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Thanh T. L. Tran,1250,0.11861504307305325,0
91,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Dimitris Bilidas,816,0.15555555555555556,0
92,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Georgios Kellaris,880,0.11554054054054053,0
93,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Christophe Claramunt,783,0.11554054054054053,0
94,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Joachim Selke,963,0.11554054054054053,0
95,E = MC3: Managing Uncertain Enterprise Data in a Cluster-Computing Environment,20200116,Fei Xu,Bogdan Cautis,754,0.11861504307305325,0
96,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Stratos Idreos,1234,0.08264523561501609,0
97,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Meihui Zhang,1067,0.15974069235137256,0
98,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Akon Dey,694,0.15974069235137256,0
99,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Thorsten Papenbrock,1258,0.12180451127819547,0
100,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Fangjin Yang ,854,0.1252283576242048,0
101,Business-Intelligence Queries with Order Dependencies in DB2,20200117,Jaroslaw Szlichta,Jinbao Wang,959,0.11861504307305325,0
102,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Stratos Idreos,1234,0.1642327847507107,0
103,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Prasang Upadhyaya,1157,0.15555555555555556,0
104,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Renata Borovica-Gajic,1180,0.11861504307305325,0
105,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Tilmann Zaschke,1260,0.11861504307305325,0
106,Detecting Database File Tampering through Page Carving,20200118,James Wagner,Fangjin Yang ,854,0.12191408436135236,0
