,result
185,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Adam Marcus', 687, 0.17467588902559694, 1)"
186,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Kai Ren', 978, 0.11748819059987713, 3)"
187,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Nitin Gupta', 1117, 0.09881536444005563, 3)"
188,"('RQL: Retrospective Computations over Snapshot Sets', 20200313, 'Nikos Tsikoudis', 'Yuan Yuan', 1353, 0.09689995530575947, 1)"
189,"('Ranking with Uncertain Scoring Functions: Semantics and Sensitivity Measures', 20200314, 'Mohamed A. Soliman', 'Lei Chen', 1016, 0.11390396283870885, 3)"
190,"('Ranking with Uncertain Scoring Functions: Semantics and Sensitivity Measures', 20200314, 'Mohamed A. Soliman', 'Thanh T. L. Tran', 1250, 0.11390396283870885, 2)"
191,"('SpatioTextual Similarity Joins', 20200315, 'Panagiotis Bouros', 'Christodoulos Efstathiades', 780, 0.17293239555867435, 3)"
192,"('Efficient Metric Indexing for Similarity Search ', 20200316, 'Lu Chen', 'Yuyang Dong', 1367, 0.16536889997472795, 2)"
193,"('Efficient Metric Indexing for Similarity Search ', 20200316, 'Lu Chen', 'Wai Kit Wong', 1286, 0.1515870806374748, 1)"
194,"('Indexing Multi-dimensional Data in a Cloud System', 20200317, 'Jinbao Wang', 'Fangjin Yang ', 854, 0.21292400956729626, 3)"
195,"('Indexing Multi-dimensional Data in a Cloud System', 20200317, 'Jinbao Wang', 'Yuyang Dong', 1367, 0.2068375672974065, 3)"
196,"('Online Data Partitioning in Distributed Database Systems', 20200318, 'Kaiji Chen', 'Danica Porobic', 796, 0.21375663048118526, 3)"
197,"('Online Data Partitioning in Distributed Database Systems', 20200318, 'Kaiji Chen', 'Wai Kit Wong', 1286, 0.13115647503667247, 2)"
198,"('Real Time Discovery of Dense Clusters in Highly Dynamic Graphs:  Identifying Real World Events in Highly Dynamic Environments', 20200319, 'Manoj K Agarwal', 'Souripriya Das', 1220, 0.11303596570659145, 2)"
199,"('Real Time Discovery of Dense Clusters in Highly Dynamic Graphs:  Identifying Real World Events in Highly Dynamic Environments', 20200319, 'Manoj K Agarwal', 'Jian Dai', 948, 0.0712238652062369, 3)"
200,"('Towards Proximity Pattern Mining in Large Graphs', 20200320, 'Arijit Khan', 'Shi Gao', 1207, 0.07323232323232322, 3)"
201,"('K-Nearest Neighbor Temporal Aggregate Queries', 20200321, 'Yu Sun', 'Jinbao Wang', 959, 0.192904276785532, 3)"
202,"('K-Nearest Neighbor Temporal Aggregate Queries', 20200321, 'Yu Sun', 'Charu C. Aggarwal', 766, 0.15148535912948388, 1)"
203,"('Discovering Linkage Points over Web Data', 20200322, 'Oktie Hassanzadeh ', 'Eli Cortez', 832, 0.14962121212121215, 1)"
204,"('Discovering Linkage Points over Web Data', 20200322, 'Oktie Hassanzadeh ', 'Marco D. Adelfio', 1051, 0.13736996354373973, 2)"
205,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Stratos Idreos', 1234, 0.15039914565684565, 3)"
206,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Yanyan Shen', 1331, 0.10989699850685074, 1)"
207,"('Refinement Driven Processing of Aggregation Constrained Queries', 20200323, 'Manasi Vartak', 'Nodira Khoussainova', 1118, 0.10638299618223918, 2)"
208,"('Explore-by-Example: An Automatic Query Steering Framework for Interactive Data Exploration', 20200324, 'Kyriaki Dimitriadou', 'Nguyen Thanh Tam', 1107, 0.16459622516043754, 2)"
209,"('Explore-by-Example: An Automatic Query Steering Framework for Interactive Data Exploration', 20200324, 'Kyriaki Dimitriadou', 'Lei Chang', 1015, 0.16118739749916516, 2)"
210,"('Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms', 20200325, 'Foteini Katsarou', 'Dong-Wan Choi', 825, 0.10939676804221024, 2)"
211,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Brian E. Ruttenberg', 757, 0.13357843137254904, 2)"
212,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Marco D. Adelfio', 1051, 0.11561025654927752, 3)"
213,"('WHAM: A High-throughput Sequence Alignment Method', 20200326, 'Yinan Li', 'Mostafa Ead', 1097, 0.10692305767690767, 3)"
214,"('Learning Path Queries on Graph Databases', 20200327, 'Angela Bonifati', 'Xin Cao', 1314, 0.18461224438607346, 3)"
215,"('Learning Path Queries on Graph Databases', 20200327, 'Angela Bonifati', 'Konstantinos Mamouras', 1002, 0.12878787878787884, 3)"
216,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Huiqi Hu', 916, 0.09646739130434784, 2)"
217,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Sudipto Das', 1236, 0.0948123887332515, 3)"
218,"('Accelerating Pathology Image Data Cross-Comparison on CPU-GPU Hybrid Systems', 20200328, 'Kaibo Wang', 'Jiajun Liu', 947, 0.09258956150821482, 3)"
219,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Yuan Yuan', 1353, 0.14695509612817947, 2)"
220,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Thomas Heinis', 1255, 0.13454162609202028, 2)"
221,"('A Software-Defined Networking based Approach for Performance Management of Analytical Queries on Distributed Data Stores', 20200330, 'Pengcheng Xiong', 'Joseph M. Hellerstein', 1125, 0.12878787878787884, 3)"
222,"('ReStore: Reusing Results of MapReduce Jobs', 20200331, 'Iman Elghandour', 'Hugo Firth', 915, 0.11622454106382064, 1)"
223,"('Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction', 20200401, 'Jennie Duggan', 'Alexandros Efentakis', 703, 0.11103896103896103, 3)"
224,"('Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP', 20200402, 'Chen Luo', 'Gheorghi Guzun', 881, 0.15974069235137256, 2)"
225,"('Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP', 20200402, 'Chen Luo', 'Victor Alvarez', 1277, 0.135438799587715, 2)"
226,"('Differentially Private Synthesization of Multi-Dimensional Data using Copula Functions', 20200403, 'Haoran Li', 'Brian E. Ruttenberg', 757, 0.14695509612817947, 3)"
227,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Joachim Selke', 963, 0.2256807218373341, 3)"
228,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Amit Goyal', 709, 0.11103896103896103, 3)"
229,"('Reducing Uncertainty of Schema Matching via Crowdsourcing', 20200405, 'Chen Jason Zhang', 'Yanyan Shen', 1331, 0.09853672122044643, 2)"
230,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Anshuman Dutt', 724, 0.09258956150821482, 3)"
231,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Shiwen Cheng', 1211, 0.09212991545641416, 3)"
232,"('Assessing and Ranking Structural Correlations in Graphs', 20200407, 'Ziyu Guan', 'Manoj K Agarwal', 1046, 0.0889423076923077, 3)"
233,"('Keyword Search over Relational Databases: A Metadata Approach', 20200410, 'Sonia Bergamaschi', 'Philipp Rosch', 1149, 0.17245989304812834, 3)"
