reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
1253,Theodoros Chondrogiannis,Panagiotis Bouros,1129, Johann Gamper,290, Ulf Leser ,575,,,,,,,,,,,,,,,,Exact and Approximate Algorithms for Finding k-Shortest Paths with Limited Overlap
851,Faisal Nawab,Divyakant Agrawal,822, Amr El Abbadi,37, Sanjay Chawla ,499,,,,,,,,,,,,,,,,COP: Planning Conflicts for Faster Parallel Transactional Machine Learning
987,Ke Wang,Chao Han,764, Ada Waichee Fu,15, Raymond Chi Wing,472, Philip S. Yu ,446,,,,,,,,,,,,,,Reconstruction Privacy: Enabling Statistical Learning
783,Christophe Claramunt,Cyril Ray,790,  Lo?c Salmon ,8, Elena Camossi,161, Melita Hadzagic,385, Anne-Laure Jousselme ,50, Gennady Andrienko,190, Natalia Andrienko ,412, Yannis Theodoridis,648, George A. Vouros,193,,,,Maritime Data Integration and Analysis:  Recent Progress and Research Challenges
1367,Yuyang Dong,Hanxiong Chen,896, Jeffrey Xu Yu,258, Kazutaka Furuse,313, Hiroyuki Kitagawa ,226,,,,,,,,,,,,,,Grid-Index Algorithm for Reverse Rank Queries
1255,Thomas Heinis,Farhan Tauheed,856,  Anastasia Ailamaki  ,2,,,,,,,,,,,,,,,,,,Spatial Data Management Challenges in the Simulation Sciences
780,Christodoulos Efstathiades,Alexandros Belesiotis,702, Dimitrios Skoutas,145, Dieter Pfoser ,143,,,,,,,,,,,,,,,,Similarity Search on Spatio-Textual Point Sets
1348,Yu Li,Eric Lo,839, Man Lung Yiu,356, Wenjian Xu ,608,,,,,,,,,,,,,,,,Query Optimization over Cloud Data Market
1211,Shiwen Cheng,Marek Chrobak,1052, Vagelis Hristidis ,578,,,,,,,,,,,,,,,,,,Slowing the Firehose: Multi-Dimensional Diversity on Social Post Streams
806,David Luaces,Jose R.R. Viqueira,967, Tomas F. Pena,568, Jose M. Cotos ,298,,,,,,,,,,,,,,,,Leveraging Bitmap Indexing for Subgraph Searching
703,Alexandros Efentakis, ,,,,,,,,,,,,,,,,,,,,,Scalable Public Transportation Queries on the Database
1269,Udayan Khurana,Amol Deshpande ,711,,,,,,,,,,,,,,,,,,,,Storing and Analyzing Historical Graph Data at Scale
1332,Yaser Oulabi,Christian Bizer ,777,,,,,,,,,,,,,,,,,,,,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data
1104,Nathalie Charbel,Joe Tekli,964, Richard Chbeir,477, Gilbert Tekli ,204,,,,,,,,,,,,,,,,Resolving XML Semantic Ambiguity
1115,Nikos Pelekis,Panagiotis Tampakis,1130, Marios Vodas,370, Costas Panagiotakis,113, Yannis Theodoridis ,649,,,,,,,,,,,,,,In-DBMS Sampling-based Sub-trajectory Clustering
1366,Yuya Sasaki,Yasuhiro Fujiwara,1333, Makoto Onizuka ,355,,,,,,,,,,,,,,,,,,Efficient Network Reliability Computation in Uncertain Graphs
1308,Xiaodong Li,Reynold Cheng,1182, Yixiang Fang,658, Jiafeng Hu,265, Silviu Maniu  ,519,,,,,,,,,,,,,,Scalable Evaluation of k-NNQueries on Large Uncertain Graphs
717,Andrey Gubichev,Thomas Neumann ,1257,,,,,,,,,,,,,,,,,,,,Exploiting the query structure for efficient join ordering in SPARQL queries
